title,date,quarter,fraud_type_counts,keyword_counts,summary
Advanced Persistent Threat Actors Leverage SolarWinds Vulnerabilities,2020-12-29,4,"{""Malware"": 5}","{""Phishing/Spoofing"": {}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {""malware"": 5}, ""Cryptocurrency"": {}}","Threat Details  Malicious actors are exploiting SolarWinds Orion products (affected  versions 2019.4 through 2020.2.1 HF1) containing SUNBURST malware  to gain access to network traffic management systems. After installation, the malware beacons via DNS requests to resolve unique subdomains  of avsvmcloud[.]com between 12 and 14 days after installation, according to FireEye’s reporting. The malware operators are able to monitor the DNS beacons to determine if additional targeting of an  organization is desired. Some victims may have received a response that included an IP address designed to disable the  malware. Following receipt of a DNS response  indicating the network was to be further targeted, the malware moved additional communications to a  separate command and control address which would also make victim specific DNS queries."
"Computer Network Infrastructure Vulnerable to Windows 7 End of Life Status, Increasing Potential for Cyber Attacks",2020-12-15,4,"{""IPR*/Copyright&Counterfeit"": 1, ""Tech Support"": 1, ""Ransomware"": 1, ""Malware"": 1}","{""Phishing/Spoofing"": {}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {""technical support"": 1}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 1}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {""intellectual property"": 1}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {""virus"": 1}, ""Cryptocurrency"": {}}","However, these challenges do not outweigh  the loss of intellectual property and threats to an organization. TLP:WHITE  TLP:WHITE     Threat Overview  On 14 January 2020, Microsoft ended support for the Windows 7 operating system, which  includes security updates and technical support unless certain customers purchased an Extended  Security Update (ESU) plan. After Microsoft released a patch in March 2017 for the  computer exploit used by the WannaCry ransomware, many Windows 7 systems  remained unpatched when the WannaCry attacks began in May 2017.  Ensuring anti-virus, spam filters, and firewalls are up to date, properly configured, and  secure."
DoppelPaymer Ransomware Attacks on Critical Infrastructure Impact Critical Services,2020-12-15,4,"{""Ransomware"": 22, ""Cryptocurrency"": 2, ""Extortion"": 3, ""Malware"": 1, ""Threats of Violence"": 3, ""Phishing/Spoofing"": 1}","{""Phishing/Spoofing"": {""spoofed"": 1}, ""Extortion"": {""extortion"": 2, ""extort"": 1}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 15, ""ransoms"": 1, ""ransom"": 6}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {""threatening"": 1, ""threatened"": 2}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {""malware"": 1}, ""Cryptocurrency"": {""bitcoin"": 1, ""cryptocurrency"": 1}}","DoppelPaymer Ransomware Attacks on  Critical Infrastructure Impact Critical Services   Summary  Since late August 2019, unidentified actors have used DoppelPaymer  ransomware to encrypt data from victims within critical industries  worldwide such as healthcare, emergency services, and education,  interrupting citizens’ access to services. Since its emergence in June  2019, DoppelPaymer ransomware has infected a variety of industries  and targets, with actors routinely demanding six- and seven-figure  ransoms in Bitcoin (BTC). Prior to infecting systems with ransomware,  the actors’ exfiltrate data to use in extortion schemes and have made  follow-on telephone calls to victims to further pressure them to make  ransom payments. Threat Details  DoppelPaymer ransomware attacks since June 2019 have negatively  impacted the provision of healthcare, emergency, and education  services to citizens worldwide. This individual later died, though  German authorities ultimately did not hold the ransomware actors responsible because the German  authorities felt the individual’s health was poor and the patient likely would have died even if they had  not been re-routed. After German authorities contacted the actors through the provided  communication accounts, the actors withdrew the extortion attempt and provided a digital decryption  key upon learning patients’ lives were endangered, according to open source reporting about the  German investigation. In July 2019, DoppelPaymer actors infected 13 out of 380 servers used by an identified US medical  center with ransomware. The medical center required several weeks to restore their  systems from offsite backups following the ransomware attack. The ransomware was introduced via an Internet  Explorer/Edge browser after an employee viewed a cryptocurrency website. The ransomware was successful in encrypting files stored on the following platforms: Windows 7,  Windows 10, Server 2008, Server 2012, and Server 2016. The  malware infected servers at three of the college’s campuses but did not infect cloud-based  applications. Additional Tactics, Techniques, and Procedures  Doppelpaymer is one of the first ransomware variants where actors have called the victims to entice  payments. As of February 2020, in multiple instances, DoppelPaymer actors had followed ransomware  infections with calls to the victims to extort payments through intimidation or threatening to release  exfiltrated data. In one case an actor, using a spoofed US-based telephone number while claiming to be  located in North Korea, threatened to leak or sell data from an identified business if the business did  not pay the ransom. During subsequent telephone calls to the same business, the actor threatened to  send an individual to the home of an employee and provided the employee's home address. Recommended Mitigations  The FBI does not encourage paying a ransom to criminal actors. Paying a ransom may embolden  adversaries to target additional organizations, encourage other criminal actors to engage in the  distribution of ransomware, and/or fund illicit activities. Paying the ransom also does not guarantee  that a victim’s files will be recovered. Regardless of whether you or your organization have decided to pay the  ransom, the FBI urges you to report ransomware incidents to your local field office or the FBI’s Internet  Crime Complaint Center (IC3). Doing so provides investigators with the critical information they need  to track ransomware attackers, hold them accountable under U.S."
Cyber Actors Target K-12 Distance Learning Education to Cause Disruptions and Steal Data,2020-12-11,4,"{""Ransomware"": 16, ""Threats of Violence"": 1, ""Malware"": 10, ""Botnet"": 3, ""Harassment/Stalking"": 1, ""Phishing/Spoofing"": 3, ""Tech Support"": 1}","{""Phishing/Spoofing"": {""phishing"": 2, ""spoofing"": 1}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {""technical support"": 1}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {""harassing"": 1}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 13, ""ransom"": 2, ""ransoms"": 1}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {""threatened"": 1}, ""SIM Swap"": {}, ""Botnet"": {""ddos"": 3}, ""Malware"": {""malware"": 8, ""trojan"": 2}, ""Cryptocurrency"": {}}","The FBI, CISA, and MS-ISAC assess malicious cyber actors are targeting kindergarten through  twelfth grade (K-12) educational institutions, leading to ransomware attacks, the theft of data, and  the disruption of distance learning services. Ransomware  The FBI, CISA, and MS-ISAC have received numerous reports of ransomware attacks against K-12  educational institutions. Adopting tactics previously leveraged against business and industry,  ransomware actors have also stolen—and threatened to leak—confidential student data to the public  unless institutions pay a ransom. According to MS-ISAC data, the percentage of reported ransomware incidents against K-12 schools  increased at the beginning of the 2020 school year. In August and September, 57% of ransomware  incidents reported to the MS-ISAC involved K-12 schools, compared to 28% of all reported  ransomware incidents from January through July. Malware  Figure 1 identifies the top 10 malware strains that have affected state, local, tribal, and territorial  (SLTT) educational institutions over the past year (up to and including September 2020). Note: These  malware variants are purely opportunistic as they not only affect educational institutions but other  organizations as well. ZeuS and Shlayer are among the most prevalent malware affecting K-12 schools.   ZeuS is a Trojan with several variants that targets Microsoft Windows operating systems.   Shlayer is a Trojan downloader and dropper for MacOS malware.1 It is primarily distributed  through malicious websites, hijacked domains, and malicious advertising posing as a fake  Adobe Flash updater. Figure 1: Top 10 malware affecting SLTT educational institutions  Distributed Denial-of-Service Attacks  Cyber actors are causing disruptions to K-12 educational institutions—including third-party  services supporting distance learning—with distributed denial-of-service (DDoS) attacks,2  which temporarily limit or prevent users from conducting daily operations. The availability of  DDoS-for-hire services provides opportunities for any motivated malicious cyber actor to  conduct disruptive attacks regardless of experience level. 2 DDoS attacks overwhelm servers with a high level of internet traffic originating from many different sources,  making it impossible to mitigate at a single source. These disruptions have included  verbally harassing students and teachers, displaying pornography and/or violent images, and doxing3  meeting attendees. Tactics, such as phishing, trick victims into revealing  personal information (e.g., password or bank account information) or performing a task (e.g., clicking  on a link). In such scenarios, a victim could receive what appears to be legitimate email that:    Requests personally identifiable information (PII) (e.g., full name, birthdate, student ID),     Directs the user to confirm a password or personal identification number (PIN),     Instructs the recipient to visit a website that is compromised by the cyber actor, or     Contains an attachment with malware. These types of attacks are referred to  as Domain Spoofing or Homograph attacks. Open/Exposed Ports  The FBI, CISA, and MS-ISAC frequently see malicious cyber actors exploiting exposed Remote  Desktop Protocol (RDP) services to gain initial access to a network and, often, to manually deploy  ransomware. They are then positioned to move laterally throughout a network  (often using SMB), escalate privileges, access and exfiltrate sensitive information, harvest  credentials, or deploy a wide variety of malware. Once a product reaches EOL, customers no longer  receive security updates, technical support, or bug fixes. Because end users are targeted, make employees and  students aware of the threats—such as ransomware and phishing scams—and how they  are delivered. Ransomware Best Practices  The FBI and CISA do not recommend paying ransoms. It may also embolden adversaries to target additional organizations, encourage other  criminal actors to engage in the distribution of ransomware, and/or fund illicit activities. However,  regardless of whether your organization decided to pay the ransom, the FBI urges you to report  ransomware incidents to your local FBI field office. Doing so provides the FBI with the critical  information they need to prevent future attacks by identifying and tracking ransomware attackers and  holding them accountable under US law."
Addressing Risks Associated with Rail Industrial Internet of Things and Commercial Off-the-Shelf System Solutions,2020-12-08,4,"{""Malware"": 4, ""Ransomware"": 2, ""Crimes Against Children"": 1, ""Botnet"": 1, ""IPR*/Copyright&Counterfeit"": 1}","{""Phishing/Spoofing"": {}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {""minor"": 1}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 2}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {""intellectual property"": 1}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {""ddos"": 1}, ""Malware"": {""malware"": 4}, ""Cryptocurrency"": {}}","Remote accessibility increases the number of potential intrusion vectors a  malicious cyber actor could exploit for stealing data or introducing malware. For example, the WannaCry ransomware targeted internet-connected  Windows 7 operating systems, impacting victims across multiple industries, including the  German rail sector. While most of the cyber incidents only disrupted minor  operations, led to monetary losses, or resulted in malware being introduced into rail company  computer networks, one incident in Lodz, Poland, resulted in train derailments.c The most  recent breach, which occurred in August 2020, prevented a US transportation authority from  sharing travel information with its customers. To mitigate the spread of malware, the US  transportation authority temporarily shut down its real-time travel data sharing service and  suspended employee email, payroll, and remote timekeeping capabilities. FBI investigations have revealed that malicious cyber actors actively search for and  compromise vulnerable IoT devices for use as proxies or intermediaries for Internet requests  to route malicious traffic for cyber-attacks, participate in DDoS attacks, and use them as entry  points for computer network exploitation. Additionally, cyber actors could deploy malware or execute  ransomware on devices capable of spreading throughout all connected rail infrastructure  networks, enabling theft of customer and employee data, physical disruptions, or the theft of  intellectual property."
Cyber Criminals Exploit Email Rule Vulnerability to Increase the Likelihood of Successful Business Email Compromise,2020-12-04,4,"{""Business Email Compromise"": 14, ""Phishing/Spoofing"": 2}","{""Phishing/Spoofing"": {""phishing"": 1, ""spoofing"": 1}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {""business email compromise"": 2, ""bec"": 9, ""business email"": 2, ""email compromise"": 1}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {}, ""Cryptocurrency"": {}}","Cyber Criminals Exploit Email Rule  Vulnerability to Increase the Likelihood of  Successful Business Email Compromise   Summary  The COVID-19 pandemic prompted a mass shift to telework among  many US businesses, resulting in increased use of web-based email  applications. Cyber criminals then  capitalize on this reduced visibility to increase the likelihood of a  successful business email compromise (BEC). The FBI is sharing this  information to inform companies of this email rule forwarding  vulnerability, which may leave businesses more susceptible to BEC. TLP: WHITE  TLP: WHITE  Threat Overview BEC is a sophisticated scam targeting businesses that perform electronic payments such as wire or  automated clearing house transfers. A cyber criminal initially compromises a business email account  through social engineering or computer intrusion techniques. BEC actors  create auto-forwarding rules within email accounts after they obtain employee credentials to decrease  the victims’ ability to observe fraudulent communications. Even after a financial institution or law enforcement contact warns a victimized business of a  potential BEC, a system audit may not identify the updated email rules if it does not audit both  applications, increasing the time a cyber criminal can retain email access and continue BEC activity. After the BEC actors obtained access to the network, they impersonated a known international  vendor. For information on BEC actors targeting organizations that use Microsoft Office 365, please refer to the  3 March 2020 Private Industry Notification (PIN-20200303-001), “Cyber Criminals Conduct Business  Email Compromise through Exploitation of Cloud-Based Email Services, Costing US Businesses Over  Two Billion Dollars.” Additionally, the 7 November 2019 Private Industry Notification (PIN-20191107- 001), “Cyber Actors Leverage Subscription-based Commercial Database to Conduct Business Email  Compromise Fraud against Construction Companies,” details BEC actors registering similar domains to  impersonate vendors with ongoing victim relationships.  Enable security features that block malicious email, such as anti-phishing and anti-spoofing  policies."
Nation-State APTs Continue to Target US Think Tanks; Sensitive Information Remains at Risk,2020-12-03,4,"{""Phishing/Spoofing"": 3}","{""Phishing/Spoofing"": {""spear-phishing"": 2, ""spoofing"": 1}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {}, ""Cryptocurrency"": {}}","Adversaries have  likely relied on multiple avenues for initial access - from employing low-skilled capabilities to  gain access via credential harvesting and spear-phishing attacks, to leveraging advanced  approaches to take advantage of unpatched and unsecured networks. The following guidance may assist in developing proper network  defense procedures:   Provide training on methods to secure and transmit sensitive information   Apply encryption to data at rest and data in transit   Employ and support proper procedures for password security   Require two-factor authentication for account/network access   Provide appropriate employee training on the dangers and impact of social engineering  (spear-phishing attacks and email spoofing)   Blacklist malicious IPs, and those from unverified/obfuscated sources (TOR, unapproved  VPNs, etc.)   Routinely apply software patches and upgrades  Reporting Suspicious Activity  The FBI encourages organizations which may have been affected by nation-state APT activity to  contact their local FBI field office."
Advanced Persistent Threat Actors Targeting U.S. Think Tanks,2020-12-02,4,"{""Phishing/Spoofing"": 3, ""Malware"": 1}","{""Phishing/Spoofing"": {""spearphishing"": 2, ""phishing"": 1}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {""malware"": 1}, ""Cryptocurrency"": {}}","These have included low-effort  capabilities such as spearphishing emails and third-party message services directed at both corporate  and personal accounts, as well as exploiting vulnerable web-facing devices and remote connection  capabilities. Leaders  •  Implement a training program to familiarize users with identifying social engineering  techniques and phishing emails. •  Be vigilant against tailored spearphishing attacks targeting corporate and personal accounts  (including both email and social media accounts). •  Block certain websites and email attachments commonly associated with malware (e.g., .scr,  .pif, .cpl, .dll, .exe)."
"Unattributed Entities Register Domains Spoofing the US Census Bureau’s Websites, Likely for Malicious Use",2020-11-06,4,"{""Phishing/Spoofing"": 7, ""Malware"": 3}","{""Phishing/Spoofing"": {""spoofing"": 2, ""spoofed"": 5}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {""malware"": 2, ""virus"": 1}, ""Cryptocurrency"": {}}","Unattributed Entities Register Domains Spoofing  the US Census Bureau’s Websites, Likely for  Malicious Use     Summary  The FBI has observed entities not associated with the US Census Bureau  registering numerous domains spoofing the Bureau’s websites, likely for  malicious purposes. These suspicious spoofed domains are easily mistaken for  legitimate Census Bureau websites and can be used for advertising, credential  harvesting, and other malicious purposes. Spoofed domains (aka typosquatting)  mimic legitimate domains by either altering character(s) within the domain or  associating another domain with similar characteristics to the legitimate domain,  such as “Censusburea[.]com” or “census-gov[.]us” Spoofed domains are  increasingly used by cyber criminal and state-sponsored groups to propagate the  spread of malware, which can lead to further compromise and financial losses. Cyber actors can use spoofed domains similar to Census Bureau  websites to target businesses and the public. In order to  prevent website confusion for site visitors, the Census Bureau is actively working to disable spoofed domains.   Update anti-malware and anti-virus software and conduct regular network scans."
Cyber Actors Target Misconfigured SonarQube Instances to Access Proprietary Source Code of US Government Agencies and Businesses,2020-11-03,4,"{""Data Breach"": 1}","{""Phishing/Spoofing"": {}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {""data leak"": 1}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {}, ""Cryptocurrency"": {}}","This activity is  similar to a previous data leak in July 2020, in which an identified cyber actor exfiltrated proprietary  source code from enterprises through poorly secured SonarQube instances and published the  exfiltrated source code on a self-hosted public repository."
